global_step=56, episodic_return=[-14.48], time=0.10400152206420898
global_step=96, episodic_return=[-12.26], time=0.014760494232177734
global_step=192, episodic_return=[-5.33], time=0.03706789016723633
global_step=216, episodic_return=[3.8], time=0.008340597152709961
global_step=224, episodic_return=[-32.14], time=0.002483367919921875
global_step=288, episodic_return=[-13.13], time=0.02391362190246582
global_step=320, episodic_return=[-29.19], time=0.01146388053894043
global_step=344, episodic_return=[-18.], time=0.009262561798095703
global_step=440, episodic_return=[-7.06], time=0.03600287437438965
global_step=664, episodic_return=[-11.21], time=0.07830667495727539
global_step=680, episodic_return=[-23.68], time=0.006136894226074219
global_step=696, episodic_return=[-78.47], time=0.005340099334716797
global_step=880, episodic_return=[-20.16], time=0.06401872634887695
global_step=968, episodic_return=[-58.44], time=0.02900218963623047
global_step=1080, episodic_return=[-8.22], time=0.039412498474121094
global_step=1160, episodic_return=[-126.2], time=0.027761220932006836
global_step=1248, episodic_return=[-152.31], time=0.028545856475830078
global_step=1664, episodic_return=[-65.97], time=0.13920044898986816
global_step=1688, episodic_return=[-70.64], time=0.007272005081176758
global_step=2016, episodic_return=[-16.16], time=0.11409711837768555
global_step=2144, episodic_return=[-55.54], time=0.043112993240356445
global_step=2296, episodic_return=[-29.15], time=0.05084705352783203
global_step=2408, episodic_return=[-5.7], time=0.03907656669616699
global_step=2664, episodic_return=[-52.86], time=0.08765554428100586
global_step=2840, episodic_return=[-138.68], time=0.059858083724975586
global_step=2928, episodic_return=[-17.15], time=0.031296730041503906
global_step=2936, episodic_return=[-42.83], time=0.0027942657470703125
global_step=2944, episodic_return=[-230.49], time=0.003022432327270508
global_step=3024, episodic_return=[-5.18], time=0.030933380126953125
global_step=3288, episodic_return=[-44.4], time=0.10010647773742676
global_step=3400, episodic_return=[-10.54], time=0.03984975814819336
global_step=3864, episodic_return=[-85.66], time=0.16257166862487793
global_step=4160, episodic_return=[-54.7], time=0.10256075859069824
global_step=4320, episodic_return=[-188.12], time=0.060231924057006836
global_step=4440, episodic_return=[-24.82], time=0.05022859573364258
global_step=4584, episodic_return=[-78.95], time=0.05645394325256348
global_step=4768, episodic_return=[-8.58], time=0.061621665954589844
global_step=4784, episodic_return=[-12.27], time=0.005509853363037109
global_step=4872, episodic_return=[-4.84], time=0.034087181091308594
global_step=4944, episodic_return=[-242.04], time=0.0271759033203125
global_step=5048, episodic_return=[-10.58], time=0.04375004768371582
global_step=5120, episodic_return=[-46.01  -8.68], time=0.02640557289123535
global_step=5272, episodic_return=[-53.53], time=0.060423851013183594
global_step=5432, episodic_return=[-31.44], time=0.05706453323364258
global_step=5504, episodic_return=[-31.25], time=0.024564504623413086
global_step=5608, episodic_return=[-36.88], time=0.03460502624511719
global_step=6032, episodic_return=[-15.44], time=0.1492626667022705
global_step=6136, episodic_return=[-20.18], time=0.045867919921875
global_step=6160, episodic_return=[-46.71], time=0.011539459228515625
global_step=6272, episodic_return=[-66.05], time=0.039366722106933594
global_step=6592, episodic_return=[-41.88], time=0.11448168754577637
global_step=6640, episodic_return=[-29.02], time=0.01695418357849121
global_step=7120, episodic_return=[-122.36], time=0.17162442207336426
global_step=7264, episodic_return=[-3.74], time=0.0602107048034668
